iter	RMSE
0	42.02011651
1	41.72660613
2	41.44316268
3	41.13581345
4	40.84542198
5	40.58239928
6	40.39531537
7	40.16412579
8	39.96189751
9	39.74935936
10	39.58189747
11	39.39575879
12	39.22972034
13	39.06268948
14	38.9012621
15	38.77136764
16	38.63826993
17	38.48203541
18	38.35148735
19	38.22308466
20	38.09419203
21	37.96712988
22	37.88928189
23	37.77595552
24	37.67028508
25	37.58105871
26	37.5178612
27	37.42950592
28	37.33583711
29	37.25054965
30	37.17693735
31	37.09330506
32	37.03120969
33	36.96605591
34	36.89134046
35	36.83057475
36	36.75481217
37	36.68988778
38	36.65848127
39	36.61526722
40	36.58184584
41	36.52085569
42	36.46775048
43	36.42243236
44	36.37611316
45	36.34530507
46	36.30072924
47	36.23325737
48	36.19121315
49	36.14293278
50	36.0957901
51	36.05974881
52	36.01457624
53	35.95982159
54	35.92855766
55	35.91201337
56	35.87140668
57	35.82880286
58	35.802899
59	35.76909124
60	35.72842629
61	35.69224818
62	35.6579993
63	35.62725941
64	35.59311275
65	35.57196822
66	35.54141649
67	35.50869325
68	35.48248684
69	35.46581798
70	35.44894525
71	35.44645694
72	35.42622517
73	35.41834372
74	35.40698642
75	35.37784883
76	35.37188123
77	35.36686782
78	35.34339366
79	35.31574204
80	35.29414955
81	35.26762039
82	35.2378177
83	35.21635715
84	35.20553791
85	35.18534471
86	35.16158107
87	35.14789677
88	35.12544647
89	35.1104484
90	35.09816997
91	35.07710897
92	35.06812797
93	35.05030492
94	35.04091181
95	35.03646806
96	35.02158459
97	35.00833595
98	34.98803712
99	34.96894208
100	34.96637315
101	34.96093979
102	34.93849647
103	34.92668402
104	34.91559453
105	34.90229242
106	34.8849783
107	34.86929102
108	34.86713759
109	34.85901266
110	34.84143127
111	34.82993384
112	34.82714652
113	34.82526149
114	34.79943391
115	34.78644642
116	34.77627096
117	34.7561415
118	34.73926326
119	34.71713092
120	34.70554655
121	34.69495068
122	34.69475067
123	34.68344833
124	34.6628162
125	34.65679238
126	34.64882516
127	34.64382101
128	34.64261039
129	34.62720505
130	34.61183686
131	34.60255422
132	34.58562386
133	34.567545
134	34.55025137
135	34.53260323
136	34.52669493
137	34.51556754
138	34.51432773
139	34.50533851
140	34.50040125
141	34.49735531
142	34.47932555
143	34.473818
144	34.46898524
145	34.46090621
146	34.45798226
147	34.44135562
148	34.44114621
149	34.434894
150	34.42373538
151	34.41825724
152	34.40698422
153	34.39230546
154	34.39188029
155	34.38146982
156	34.36310705
157	34.35765957
158	34.34759852
159	34.34722306
160	34.34424202
161	34.33148232
162	34.31878929
163	34.30599757
164	34.29343287
165	34.2875594
166	34.27765896
167	34.26522936
168	34.24959995
169	34.2425924
170	34.23206768
171	34.22209749
172	34.22202471
173	34.21587592
174	34.20598186
175	34.19472515
176	34.19034721
177	34.18118814
178	34.17199871
179	34.16634158
180	34.16627725
181	34.1563234
182	34.14760632
183	34.1324371
184	34.11894148
185	34.11132252
186	34.10458557
187	34.09550433
188	34.0837523
189	34.07337903
190	34.06237185
191	34.05478909
192	34.05305206
193	34.04416926
194	34.03471403
195	34.02902745
196	34.01289518
197	34.00855089
198	33.99684771
199	33.98527256
200	33.97604531
201	33.96664049
202	33.95958191
203	33.9506133
204	33.9424593
205	33.93232679
206	33.92403429
207	33.91686523
208	33.9104523
209	33.89727897
210	33.88830689
211	33.88411418
212	33.87680541
213	33.87076612
214	33.86101537
215	33.85509494
216	33.84708592
217	33.83838623
218	33.82939799
219	33.82351428
220	33.81571265
221	33.8092015
222	33.80310411
223	33.79503339
224	33.78833821
225	33.78237201
226	33.77485873
227	33.76659538
228	33.76122611
229	33.75658027
230	33.75051483
231	33.74652432
232	33.74172234
233	33.73450193
234	33.72893727
235	33.72310369
236	33.71857792
237	33.71295585
238	33.70596967
239	33.69799204
240	33.68716527
241	33.68105658
242	33.67082211
243	33.66671923
244	33.66283348
245	33.65504499
246	33.6452221
247	33.63748437
248	33.63075483
249	33.62668015
250	33.62190425
251	33.6125874
252	33.60944451
253	33.60225688
254	33.59325089
255	33.58623523
256	33.58163516
257	33.57496728
258	33.56811928
259	33.56182558
260	33.55811574
261	33.55267757
262	33.54793194
263	33.54507309
264	33.53925275
265	33.53260534
266	33.52679707
267	33.52425237
268	33.51997997
269	33.51140988
270	33.5025682
271	33.49954263
272	33.49175743
273	33.48811766
274	33.48531298
275	33.48147413
276	33.47410454
277	33.46674008
278	33.46399897
279	33.46041039
280	33.45491172
281	33.45147325
282	33.44680731
283	33.44067305
284	33.43809673
285	33.43561264
286	33.43162916
287	33.42636212
288	33.42321448
289	33.42058204
290	33.41787895
291	33.41490924
292	33.40860923
293	33.40431621
294	33.39914631
295	33.39295801
296	33.38767622
297	33.38133898
298	33.37624085
299	33.37139447
300	33.3641428
301	33.35800727
302	33.35434118
303	33.35206196
304	33.34932023
305	33.3436623
306	33.33944282
307	33.33685603
308	33.330509
309	33.32672701
310	33.32139892
311	33.3191178
312	33.31597375
313	33.31327422
314	33.31042315
315	33.30723317
316	33.30477831
317	33.30054583
318	33.29820462
319	33.29661603
320	33.29398583
321	33.28753886
322	33.2854768
323	33.28330366
324	33.28112854
325	33.27605172
326	33.27038954
327	33.26646916
328	33.26367555
329	33.25968993
330	33.25605141
331	33.25184859
332	33.24594675
333	33.24422772
334	33.24138694
335	33.23596466
336	33.23233989
337	33.23066931
338	33.22776923
339	33.22521224
340	33.22187898
341	33.21941346
342	33.21527639
343	33.21078242
344	33.20720662
345	33.20231812
346	33.20002463
347	33.19659225
348	33.19298504
349	33.19005263
350	33.18766677
351	33.18529377
352	33.18254831
353	33.17954792
354	33.17611557
355	33.17182123
356	33.1674875
357	33.16363818
358	33.15899988
359	33.15660652
360	33.15496124
361	33.1498604
362	33.14849005
363	33.14482333
364	33.14142864
365	33.13989237
366	33.13719522
367	33.13545846
368	33.13387417
369	33.13078203
370	33.12782057
371	33.12317812
372	33.1211527
373	33.12003987
374	33.11735296
375	33.11539808
376	33.11094411
377	33.10870253
378	33.10558934
379	33.10417648
380	33.10223793
381	33.10036444
382	33.09768657
383	33.0934793
384	33.08949284
385	33.08828241
386	33.08554391
387	33.08286274
388	33.07966401
389	33.07808699
390	33.07397169
391	33.07060355
392	33.06714204
393	33.06619495
394	33.06441611
395	33.0616169
396	33.05976287
397	33.05641407
398	33.05472439
399	33.05305542
400	33.05036027
401	33.04721757
402	33.04499651
403	33.04171786
404	33.03920171
405	33.03689295
406	33.03393786
407	33.03108625
408	33.02948679
409	33.02796691
410	33.02603714
411	33.02463842
412	33.02244572
413	33.02032104
414	33.01830948
415	33.01627552
416	33.01486878
417	33.01158439
418	33.00951019
419	33.00673404
420	33.00486145
421	33.00269891
422	33.00078648
423	32.99924356
424	32.99834117
425	32.99623629
426	32.99421731
427	32.9927964
428	32.99175019
429	32.98945379
430	32.98842447
431	32.9870434
432	32.98518215
433	32.98224263
434	32.98000653
435	32.97756905
436	32.9762768
437	32.97512578
438	32.97319596
439	32.97087951
440	32.9678213
441	32.96695812
442	32.96455335
443	32.96212778
444	32.95999137
445	32.95794396
446	32.95694973
447	32.95421636
448	32.95160114
449	32.94937205
450	32.94742417
451	32.94585098
452	32.94465523
453	32.94349107
454	32.94194515
455	32.94076753
456	32.93889205
457	32.93624525
458	32.93393108
459	32.93296277
460	32.93105447
461	32.92847764
462	32.92670377
463	32.92478218
464	32.92254822
465	32.92140684
466	32.92038687
467	32.91957389
468	32.91778179
469	32.91614764
470	32.91459542
471	32.91338642
472	32.91109353
473	32.9088951
474	32.90724233
475	32.90509025
476	32.90364098
477	32.90280948
478	32.90193761
479	32.90064996
480	32.89981995
481	32.89898765
482	32.8981344
483	32.89676875
484	32.89482976
485	32.89390772
486	32.89311729
487	32.8923444
488	32.89118462
489	32.89021538
490	32.88818155
491	32.88675121
492	32.88436948
493	32.88386439
494	32.88235392
495	32.88015386
496	32.87905589
497	32.87732268
498	32.87650043
499	32.87488419
500	32.87359249
501	32.87184588
502	32.87028215
503	32.86811416
504	32.86687787
505	32.86510702
506	32.86399188
507	32.86287622
508	32.8618324
509	32.86047526
510	32.8593471
511	32.85768779
512	32.85627991
513	32.85509336
514	32.85377376
515	32.85175654
516	32.85048393
517	32.84892647
518	32.84744058
519	32.8469366
520	32.84567116
521	32.84484288
522	32.84366935
523	32.84218472
524	32.84142748
525	32.84010554
526	32.83866682
527	32.8371725
528	32.83596029
529	32.8353971
530	32.83437593
531	32.83369746
532	32.83254214
533	32.83093172
534	32.82953362
535	32.8281433
536	32.82661274
537	32.82590179
538	32.82494817
539	32.82409981
540	32.82324516
541	32.8220644
542	32.82135384
543	32.82060093
544	32.8196668
545	32.81877914
546	32.81757069
547	32.81679245
548	32.81586516
549	32.8147735
550	32.81305091
551	32.81174564
552	32.81098335
553	32.80980846
554	32.80871269
555	32.80744311
556	32.80655719
557	32.80577907
558	32.80479916
559	32.80409072
560	32.80248089
561	32.80177907
562	32.80137817
563	32.80051759
564	32.79972286
565	32.79877775
566	32.79817901
567	32.79738877
568	32.79662591
569	32.79510988
570	32.79450988
571	32.79397641
572	32.79339192
573	32.79276602
574	32.79174876
575	32.79098014
576	32.79045609
577	32.78901562
578	32.78799216
579	32.78734269
580	32.7865126
581	32.78523567
582	32.78383478
583	32.78276037
584	32.7814333
585	32.78026736
586	32.7797799
587	32.77910741
588	32.77832232
589	32.77750023
590	32.77683358
591	32.77628417
592	32.77569734
593	32.77471723
594	32.77432728
595	32.7739842
596	32.77291612
597	32.77223507
598	32.77194016
599	32.77164307
600	32.77078872
601	32.77016588
602	32.76977674
603	32.76885037
604	32.76778525
605	32.76726804
606	32.76643085
607	32.76573191
608	32.76525352
609	32.76445574
610	32.7636662
611	32.76293913
612	32.7626846
613	32.76234284
614	32.76188581
615	32.76154786
616	32.76094533
617	32.76024162
618	32.75963401
619	32.75886156
620	32.75811178
621	32.75710961
622	32.75639553
623	32.75581281
624	32.75485718
625	32.75382725
626	32.75310838
627	32.75192594
628	32.75106043
629	32.75045717
630	32.74991306
631	32.74911531
632	32.74810297
633	32.74748914
634	32.74706844
635	32.7466243
636	32.74557156
637	32.74435788
638	32.74375332
639	32.74327599
640	32.74271815
641	32.74185795
642	32.74110315
643	32.74019509
644	32.73937304
645	32.73822571
646	32.73777305
647	32.73727684
648	32.73644747
649	32.73574197
650	32.73503782
651	32.73455281
652	32.73379699
653	32.7331974
654	32.73265387
655	32.7320926
656	32.73166513
657	32.73058948
658	32.73005409
659	32.72970521
660	32.72912635
661	32.72821306
662	32.72740594
663	32.72664958
664	32.72567506
665	32.72507954
666	32.72445421
667	32.72397618
668	32.7235079
669	32.72302568
670	32.72270543
671	32.72211177
672	32.72157954
673	32.72085846
674	32.7201092
675	32.71939617
676	32.71915758
677	32.71871433
678	32.71786936
679	32.71757914
680	32.71687553
681	32.7163003
682	32.71566147
683	32.71526176
684	32.71464513
685	32.71428761
686	32.71370817
687	32.71342367
688	32.71305904
689	32.71266273
690	32.71237323
691	32.71171067
692	32.71132096
693	32.71090463
694	32.71065946
695	32.7101507
696	32.70960764
697	32.70908207
698	32.70865571
699	32.70815489
700	32.70779952
701	32.70751793
702	32.7069831
703	32.70670163
704	32.70617469
705	32.70562583
706	32.70529435
707	32.70500298
708	32.70453888
709	32.70396439
710	32.70338403
711	32.70314004
712	32.70269364
713	32.70215804
714	32.70155455
715	32.70129369
716	32.70090733
717	32.70039835
718	32.69986948
719	32.69948968
720	32.69924229
721	32.69895438
722	32.69858231
723	32.69800611
724	32.69769897
725	32.69738436
726	32.69682093
727	32.69625632
728	32.69577063
729	32.6954804
730	32.69524523
731	32.69483892
732	32.69450666
733	32.69402239
734	32.69378356
735	32.69343826
736	32.69306163
737	32.69275596
738	32.69243181
739	32.69197288
740	32.69167071
741	32.69123888
742	32.6910159
743	32.69063635
744	32.69027263
745	32.68991746
746	32.6897603
747	32.68920624
748	32.68912136
749	32.68886004
750	32.68834942
751	32.68813831
752	32.68762311
753	32.68713683
754	32.68664044
755	32.68643953
756	32.68625442
757	32.6855332
758	32.68524904
759	32.68470845
760	32.6843314
761	32.68386157
762	32.68358531
763	32.68331796
764	32.68311036
765	32.68268447
766	32.6822057
767	32.68189672
768	32.68179567
769	32.68145982
770	32.6812124
771	32.68091512
772	32.68054862
773	32.68023566
774	32.67987205
775	32.67952503
776	32.67913491
777	32.67872502
778	32.67842908
779	32.67820341
780	32.67778023
781	32.67751017
782	32.67724691
783	32.67681168
784	32.67655003
785	32.67599052
786	32.67586975
787	32.67543179
788	32.67515926
789	32.67495654
790	32.67468305
791	32.67447658
792	32.67427576
793	32.6738913
794	32.67372332
795	32.6733151
796	32.67295055
797	32.67244959
798	32.67214187
799	32.67178955
800	32.67137288
801	32.67098295
802	32.67076669
803	32.67037593
804	32.67006891
805	32.66972117
806	32.66953931
807	32.66939137
808	32.66923994
809	32.66903091
810	32.66883131
811	32.66863924
812	32.66807256
813	32.66766141
814	32.66746868
815	32.66732133
816	32.6671896
817	32.66680847
818	32.66653476
819	32.66640547
820	32.66602691
821	32.66551643
822	32.66515595
823	32.66477859
824	32.66455088
825	32.66417069
826	32.66373247
827	32.66367766
828	32.66335537
829	32.6632146
830	32.66305576
831	32.66280093
832	32.66248072
833	32.66216472
834	32.66195907
835	32.66174659
836	32.66160375
837	32.66126055
838	32.66113362
839	32.66093359
840	32.66066376
841	32.6603522
842	32.66019745
843	32.6599652
844	32.65966884
845	32.65948766
846	32.65911358
847	32.65894111
848	32.65875784
849	32.65841888
850	32.65810627
851	32.65766377
852	32.65746319
853	32.65710939
854	32.65695368
855	32.65672991
856	32.65660947
857	32.65617754
858	32.65589564
859	32.65564254
860	32.6553484
861	32.65512132
862	32.65493012
863	32.65476633
864	32.65454963
865	32.65433383
866	32.65401397
867	32.65373171
868	32.65358708
869	32.65345488
870	32.65312787
871	32.65287987
872	32.65264923
873	32.65229861
874	32.65202083
875	32.65185603
876	32.65177761
877	32.65159852
878	32.65138782
879	32.65113089
880	32.65096003
881	32.65079784
882	32.65069347
883	32.65053136
884	32.65036069
885	32.65010742
886	32.64994023
887	32.64982308
888	32.64969367
889	32.64949851
890	32.64939521
891	32.64904703
892	32.64875005
893	32.6485861
894	32.64821585
895	32.64796228
896	32.64780867
897	32.64766134
898	32.64750375
899	32.64728896
900	32.64701713
901	32.64684363
902	32.6466815
903	32.64647385
904	32.64624043
905	32.64614441
906	32.64600127
907	32.64573883
908	32.64558738
909	32.64536898
910	32.645128
911	32.64498622
912	32.64481449
913	32.64459428
914	32.64436602
915	32.64410792
916	32.64377658
917	32.64368899
918	32.64358881
919	32.64339752
920	32.64322385
921	32.64312777
922	32.64291292
923	32.64283304
924	32.64266954
925	32.64259567
926	32.64236116
927	32.64215114
928	32.64186012
929	32.64170148
930	32.64161127
931	32.6414904
932	32.64130922
933	32.64117072
934	32.6409818
935	32.64072084
936	32.64057185
937	32.64048216
938	32.64030464
939	32.64015102
940	32.64009534
941	32.63982931
942	32.63974909
943	32.63962694
944	32.63948863
945	32.63926531
946	32.639123
947	32.63892385
948	32.63879346
949	32.63872293
950	32.63853425
951	32.63833026
952	32.63820216
953	32.63812902
954	32.63791846
955	32.63784524
956	32.63768987
957	32.63760463
958	32.63741464
959	32.63730894
960	32.63719334
961	32.63700626
962	32.63689051
963	32.6367938
964	32.63654864
965	32.63636202
966	32.63620946
967	32.6360313
968	32.63580329
969	32.63561237
970	32.63548648
971	32.63539195
972	32.63515645
973	32.63486644
974	32.63477088
975	32.63458323
976	32.63442106
977	32.63433252
978	32.63397141
979	32.63382503
980	32.63366688
981	32.63353778
982	32.63338762
983	32.63320473
984	32.63302755
985	32.63285321
986	32.63272451
987	32.63261389
988	32.63238871
989	32.63224503
990	32.63213143
991	32.6319657
992	32.63186335
993	32.63169235
994	32.63148161
995	32.63141955
996	32.63129254
997	32.63116868
998	32.63109083
999	32.63103793
